no,Replicate,id,j,a,b,c,z,x1,x2,x3,E,y,
29,22,1,46575,0.32380,0.88132,0.24098,0.49710,22.95210,45.25260,19.63910,261.87000,561.29000,
30,22,1,49678,0.26385,0.80869,0.47800,-0.29787,20.55410,42.34760,29.12000,-125.84000,156.17000,
1,23,1,1545,0.78322,0.09623,0.68832,0.49000,41.32900,13.84910,37.53270,836.96000,1306.63000,
2,23,1,3606,0.97686,0.55229,0.93061,-0.29870,49.07420,32.09160,47.22430,-719.35000,-144.29000,
3,23,1,8195,0.55857,0.79032,0.61107,0.09966,32.34300,41.61300,34.44270,104.26000,508.74000,
4,23,1,8634,0.34065,0.59907,0.67429,-0.95395,23.62590,33.96280,36.97180,-532.48000,-220.29000,
5,23,1,9268,0.73889,0.43857,0.08541,-0.18402,39.55570,27.54270,13.41640,-287.92000,153.59000,
6,23,1,9532,0.83793,0.55134,0.42668,1.03306,43.51720,32.05360,27.06730,1956.35000,2455.65000,
7,23,1,10084,0.72925,0.62757,0.71591,0.44798,39.17000,35.10290,38.63630,687.34000,1157.78000,
8,23,1,12765,0.83187,0.06046,0.64880,-1.15160,43.27500,12.41860,35.95200,-2156.62000,-1670.50000,
9,23,1,13954,0.94234,0.40444,0.66047,-0.08619,47.69360,26.17760,36.41890,-196.07000,348.47000,
10,23,1,14036,0.68066,0.76375,0.33080,-1.93672,37.22650,40.54980,23.23190,-2683.93000,-2242.89000,
11,23,1,14455,0.38936,0.94788,0.16926,0.62481,25.57460,47.91510,16.77040,408.66000,734.09000,
12,23,1,18026,0.04160,0.97736,0.82762,1.69351,11.66410,49.09450,43.10480,230.40000,444.24000,
13,23,1,18627,0.45126,0.33983,0.10157,1.93532,28.05060,23.59330,14.06280,1522.78000,1845.94000,
14,23,1,20351,0.75106,0.25157,0.37850,0.06264,40.04250,20.06290,25.14000,100.44000,551.06000,
15,23,1,21931,0.63980,0.93474,0.25441,0.90940,35.59190,47.38940,20.17660,1152.01000,1580.50000,
16,23,1,23342,0.51627,0.33149,0.92493,-0.34302,30.65090,23.25970,46.99720,-322.26000,59.51000,
17,23,1,26962,0.77416,0.11993,0.47946,-1.55124,40.96630,14.79730,29.17830,-2603.35000,-2144.71000,
18,23,1,31905,0.02941,0.30324,0.52891,-0.69305,11.17650,22.12950,31.15630,-86.57000,83.48000,
19,23,1,32246,0.43253,0.53747,0.54056,1.01821,27.30130,31.49890,31.62260,758.93000,1100.07000,
20,23,1,32660,0.06220,0.47879,0.83437,-1.96242,12.48790,29.15180,43.37500,-306.03000,-103.63000,
21,23,1,34537,0.31233,0.83542,0.05235,-1.03820,22.49320,43.41680,12.09380,-525.27000,-239.83000,
22,23,1,35484,0.23875,0.42082,0.62508,-0.54614,19.55000,26.83300,35.00320,-208.74000,53.60000,
23,23,1,38921,0.18178,0.70207,0.65175,0.39859,17.27100,38.08260,36.07000,118.90000,370.76000,
24,23,1,38937,0.79126,0.78167,0.16963,-0.46265,41.65050,41.26670,16.78510,-802.60000,-323.04000,
25,23,1,39973,0.07452,0.89415,0.57108,1.96459,12.98100,45.76600,32.84310,331.04000,544.46000,
26,23,1,44826,0.93786,0.04634,0.44512,-0.92319,47.51460,11.85370,27.80470,-2084.22000,-1564.42000,
27,23,1,48092,0.08755,0.85879,0.10954,-0.18792,13.50190,44.35150,14.38140,-34.26000,164.49000,
28,23,1,48150,0.89441,0.25900,0.42993,-0.40429,45.77640,20.35990,27.19730,-847.18000,-336.86000,
29,23,1,48634,0.85332,0.87191,0.49889,-0.62295,44.13290,44.87650,29.95580,-1213.32000,-692.16000,
30,23,1,49845,0.81508,0.36966,0.91322,-0.30152,42.60310,24.78640,46.52890,-547.27000,-44.92000,
1,24,1,2540,0.02085,0.92120,0.34828,0.15013,10.83390,46.84790,23.93120,17.62000,201.74000,
2,24,1,2720,0.79961,0.05843,0.56678,1.06422,41.98430,12.33720,32.67120,1875.88000,2345.73000,
3,24,1,5164,0.24038,0.58842,0.71948,0.64176,19.61500,33.53700,38.77920,246.92000,520.38000,
4,24,1,5495,0.76808,0.08690,0.24571,1.58105,40.72320,13.47590,19.82830,2621.98000,3067.52000,
5,24,1,8968,0.25836,0.94603,0.93365,1.51984,20.33420,47.84140,47.34580,628.42000,931.95000,
6,24,1,11641,0.34107,0.70002,0.73467,-0.54258,23.64280,38.00060,39.38700,-303.29000,15.52000,
7,24,1,12394,0.22245,0.76617,0.63405,0.02311,18.89790,40.64690,35.36200,8.25000,278.24000,
8,24,1,16644,0.02363,0.05603,0.77682,0.36454,10.94500,12.24130,41.07300,43.67000,211.43000,
9,24,1,19200,0.30025,0.87099,0.71815,0.62092,22.01010,44.83940,38.72590,300.80000,609.47000,
10,24,1,23173,0.14435,0.22686,0.72957,-1.29712,15.77410,19.07450,39.18270,-322.75000,-101.75000,
11,24,1,23753,0.54227,0.66729,0.02083,-0.14222,31.69070,36.69180,10.83330,-142.84000,226.60000,
12,24,1,25848,0.60890,0.45119,0.66767,0.57521,34.35590,28.04750,36.70670,678.93000,1092.24000,
13,24,1,28301,0.20990,0.14329,0.43697,1.34381,18.39610,15.73160,27.47890,454.77000,686.94000,
14,24,1,28796,0.21947,0.36271,0.26656,0.15119,18.77870,24.50850,20.66250,53.32000,291.27000,
15,24,1,29989,0.27659,0.21010,0.29334,0.98274,21.06340,18.40400,21.73360,436.01000,691.78000,
16,24,1,35235,0.77543,0.22284,0.66205,-0.11546,41.01710,18.91380,36.48220,-194.26000,276.31000,
17,24,1,36069,0.64654,0.30567,0.59531,1.70643,35.86140,22.22700,33.81250,2194.54000,2614.20000,
18,24,1,38506,0.92649,0.99408,0.39363,-0.29660,47.05970,49.76310,25.74510,-656.86000,-105.76000,
19,24,1,38581,0.84633,0.15209,0.46645,0.15056,43.85310,16.08360,28.65790,289.54000,777.81000,
20,24,1,40453,0.63572,0.25577,0.14525,0.51688,35.42870,20.23090,15.81010,648.78000,1044.11000,
21,24,1,40807,0.98052,0.43713,0.61365,0.81872,49.22080,27.48510,34.54620,1983.49000,2542.73000,
22,24,1,42747,0.01849,0.24395,0.82870,0.40665,10.73960,19.75790,43.14800,46.90000,222.20000,
23,24,1,42835,0.37240,0.81321,0.02605,-0.11740,24.89610,42.52840,11.04180,-72.77000,234.76000,
24,24,1,43314,0.11026,0.72888,0.68932,0.32130,14.41030,39.15520,37.57290,66.72000,292.55000,
25,24,1,43392,0.20076,0.04812,0.37918,-1.24392,18.03050,11.92470,25.16710,-404.39000,-182.00000,
26,24,1,45989,0.00482,0.32102,0.73152,-1.31560,10.19290,22.84080,39.26100,-136.68000,32.35000,
27,24,1,46601,0.64901,0.32752,0.80824,-0.19383,35.96030,23.10060,42.32950,-250.66000,179.38000,
28,24,1,49082,0.60363,0.01696,0.47196,-0.30785,34.14520,10.67830,28.87840,-358.92000,27.09000,
29,24,1,49919,0.55567,0.51222,0.00146,-0.01274,32.22680,30.48860,10.05840,-13.23000,354.58000,
30,24,1,49992,0.20571,0.09734,0.26758,0.42762,18.22840,13.89360,20.70320,142.09000,363.97000,
1,25,1,1943,0.13491,0.47332,0.03805,-0.72976,15.39660,28.93270,11.52200,-172.99000,26.43000,
2,25,1,3714,0.38789,0.55458,0.80872,1.29999,25.51570,32.18310,42.34900,846.36000,1181.05000,
3,25,1,5708,0.18740,0.07399,0.50215,-0.39404,17.49580,12.95980,30.08590,-120.62000,102.39000,
4,25,1,9762,0.65166,0.87733,0.18808,-0.61407,36.06640,45.09310,17.52300,-798.77000,-370.49000,
5,25,1,11588,0.04586,0.66083,0.62610,0.66004,11.83460,36.43330,35.04390,92.44000,287.27000,
6,25,1,11710,0.47827,0.86596,0.57519,-0.35184,29.13070,44.63850,33.00780,-298.57000,75.38000,
7,25,1,14304,0.89694,0.09061,0.16307,0.91119,45.87760,13.62420,16.52270,1917.82000,2411.74000,
8,25,1,14973,0.15922,0.96118,0.85593,0.92490,16.36870,48.44740,44.23730,247.81000,509.19000,
9,25,1,15304,0.34155,0.94082,0.74147,-0.61225,23.66190,47.63260,39.65880,-342.79000,-13.88000,
10,25,1,15558,0.92149,0.99834,0.74310,-0.19268,46.85970,49.93370,39.72390,-423.10000,140.16000,
11,25,1,18366,0.52710,0.56226,0.45681,0.32395,31.08390,32.49030,28.27230,313.00000,689.60000,
12,25,1,18901,0.24316,0.40464,0.88445,0.69414,19.72630,26.18570,45.37820,270.11000,543.94000,
13,25,1,20369,0.23522,0.53288,0.62376,-0.78781,19.40860,31.31530,34.95050,-296.76000,-31.41000,
14,25,1,20994,0.64816,0.62266,0.77562,1.82734,35.92650,34.90640,41.02500,2358.57000,2798.76000,
15,25,1,21103,0.22361,0.65767,0.34207,-0.49589,18.94460,36.30680,23.68280,-177.97000,76.46000,
16,25,1,22446,0.56730,0.77426,0.74376,-0.74306,32.69210,40.97030,39.75050,-794.16000,-381.52000,
17,25,1,23836,0.87580,0.34464,0.52351,-0.34551,45.03200,23.78550,30.94050,-700.66000,-190.62000,
18,25,1,28158,0.01062,0.39978,0.30363,0.40618,10.42460,25.99110,22.14530,44.14000,201.52000,
19,25,1,30959,0.20413,0.35551,0.25995,0.29417,18.16510,24.22030,20.39820,97.07000,328.34000,
20,25,1,31624,0.27491,0.62397,0.52054,0.38513,20.99640,34.95860,30.82140,169.78000,450.53000,
21,25,1,32651,0.82303,0.92611,0.46922,0.78665,42.92120,47.04440,28.76860,1449.19000,1959.22000,
22,25,1,32892,0.33267,0.47707,0.11014,1.39770,23.30700,29.08270,14.40570,759.25000,1040.81000,
23,25,1,39240,0.35726,0.23448,0.47000,1.09689,24.29020,19.37920,28.79990,647.18000,943.26000,
24,25,1,39631,0.79284,0.44881,0.69404,-0.09581,41.71350,27.95220,37.76150,-166.72000,321.13000,
25,25,1,41386,0.38672,0.73516,0.18396,0.79228,25.46900,39.40620,17.35850,513.92000,830.38000,
26,25,1,42339,0.12807,0.51287,0.66006,-0.93503,15.12270,30.51490,36.40240,-213.84000,9.30000,
27,25,1,44639,0.19885,0.05981,0.15497,0.29163,17.95390,12.39240,16.19890,94.00000,307.13000,
28,25,1,44747,0.39725,0.94755,0.82015,0.62353,25.88990,47.90200,42.80580,417.94000,772.55000,
29,25,1,47509,0.73750,0.17262,0.60856,0.90497,39.49980,16.90470,34.34260,1411.96000,1863.21000,
30,25,1,48908,0.21864,0.54404,0.90062,-0.86943,18.74560,31.76160,46.02470,-305.52000,-35.27000,
1,26,1,1060,0.90548,0.81237,0.84217,1.51699,46.21930,42.49470,43.68670,3240.63000,3794.00000,
2,26,1,1406,0.49047,0.64599,0.28790,0.01065,29.61870,35.83950,21.51600,9.34000,367.89000,
3,26,1,3416,0.00867,0.01906,0.45645,0.86014,10.34680,10.76240,28.25800,92.08000,239.57000,
4,26,1,3921,0.90448,0.25323,0.65000,-1.76064,46.17910,20.12940,35.99980,-3754.58000,-3231.66000,
5,26,1,7999,0.25271,0.43319,0.51571,-0.52403,20.10830,27.32760,30.62860,-211.89000,52.15000,
6,26,1,14111,0.75237,0.87546,0.05804,0.38080,40.09480,45.01840,12.32150,612.17000,1075.45000,
7,26,1,17058,0.91304,0.91871,0.83220,0.49587,46.52170,46.74850,43.28800,1073.19000,1633.44000,
8,26,1,20391,0.02855,0.65006,0.44639,1.88774,11.14210,36.00220,27.85550,234.36000,414.64000,
9,26,1,23221,0.39444,0.86774,0.40915,0.51455,25.77760,44.70970,26.36610,341.91000,675.76000,
10,26,1,24440,0.27758,0.23761,0.67855,-2.64533,21.10320,19.50440,37.14190,-1178.08000,-905.40000,
11,26,1,25079,0.75629,0.74623,0.45924,0.46428,40.25170,39.84930,28.36980,752.22000,1227.96000,
12,26,1,25335,0.06017,0.48264,0.08508,0.08262,12.40680,29.30550,13.40300,12.72000,184.49000,
13,26,1,25388,0.66739,0.38719,0.10709,-0.28670,36.69550,25.48770,14.28380,-386.06000,25.67000,
14,26,1,26032,0.13136,0.82844,0.02439,-0.62037,15.25430,43.13760,10.97570,-144.36000,67.30000,
15,26,1,26272,0.57403,0.60716,0.55740,-0.18236,32.96120,34.28630,32.29610,-198.12000,203.08000,
16,26,1,28078,0.03316,0.29385,0.49309,0.62494,11.32660,21.75390,29.72350,80.17000,249.92000,
17,26,1,29368,0.23447,0.15645,0.30503,-0.78321,19.37880,16.25780,22.20130,-294.13000,-56.88000,
18,26,1,31086,0.38964,0.57414,0.91026,-0.10096,25.58540,32.96550,46.41030,-66.09000,274.14000,
19,26,1,33982,0.38221,0.67766,0.74426,-1.53872,25.28860,37.10620,39.77030,-984.03000,-649.27000,
20,26,1,39250,0.54055,0.60491,0.28683,0.63766,31.62200,34.19630,21.47310,637.63000,1014.52000,
21,26,1,40234,0.75388,0.16204,0.04970,-1.66762,40.15540,16.48170,11.98810,-2688.96000,-2253.94000,
22,26,1,40960,0.31915,0.67786,0.66432,-0.89503,22.76590,37.11440,36.57280,-463.88000,-157.54000,
23,26,1,41821,0.70095,0.34510,0.72561,1.47345,38.03820,23.80380,39.02460,2131.94000,2580.15000,
24,26,1,42609,0.07073,0.20206,0.67201,-0.03695,12.82930,18.08230,36.88030,-6.08000,182.17000,
25,26,1,44046,0.28904,0.62761,0.83997,0.98475,21.56170,35.10460,43.59880,457.82000,757.14000,
26,26,1,44230,0.12900,0.14007,0.08172,2.21749,15.16000,15.60290,13.26900,509.64000,695.11000,
27,26,1,46957,0.85565,0.46911,0.21380,-1.44695,44.22580,28.76440,18.55220,-2830.12000,-2335.54000,
28,26,1,47470,0.33037,0.29209,0.17566,-0.05830,23.21490,21.68360,17.02650,-31.42000,244.44000,
29,26,1,48806,0.68380,0.24335,0.85193,1.13289,37.35190,19.73400,44.07720,1580.56000,2022.89000,
30,26,1,49203,0.96448,0.94951,0.48366,0.29096,48.57920,47.98030,29.34650,686.65000,1254.77000,
1,27,1,36,0.85801,0.46081,0.09475,-0.89428,44.32040,28.43230,13.79020,-1756.64000,-1266.22000,
2,27,1,1147,0.73297,0.43437,0.04683,-1.25424,39.31880,27.37480,11.87310,-1939.01000,-1501.57000,
3,27,1,2918,0.31977,0.17777,0.96695,1.04384,22.79080,17.11090,48.67800,542.19000,840.88000,
4,27,1,4182,0.85552,0.37646,0.41627,-1.37492,44.22090,25.05830,26.65070,-2688.64000,-2189.72000,
5,27,1,6003,0.75179,0.16128,0.15351,-0.19576,40.07150,16.45110,16.14060,-314.34000,123.96000,
6,27,1,6119,0.95649,0.14786,0.82598,-0.46283,48.25970,15.91430,43.03900,-1077.94000,-531.39000,
7,27,1,7550,0.32721,0.92501,0.56530,-0.04446,23.08860,47.00020,32.61210,-23.70000,291.80000,
8,27,1,8481,0.92736,0.07980,0.62634,-1.81234,47.09460,13.19200,35.05360,-4019.59000,-3495.40000,
9,27,1,11148,0.32224,0.24386,0.07425,-1.01676,22.88950,19.75430,12.96990,-532.71000,-266.09000,
10,27,1,11966,0.87182,0.41026,0.06445,0.91015,44.87290,26.41040,12.57790,1832.67000,2325.38000,
11,27,1,13004,0.01363,0.85023,0.98316,-0.69627,10.54520,44.00910,49.32640,-77.43000,126.36000,
12,27,1,13146,0.33619,0.01708,0.88163,-0.03640,23.44760,10.68310,45.26520,-20.01000,275.41000,
13,27,1,14354,0.61761,0.71382,0.57067,0.25873,34.70460,38.55290,32.82670,311.62000,735.04000,
14,27,1,15788,0.70588,0.47929,0.73082,-0.66517,38.23520,29.17150,39.23280,-972.44000,-516.68000,
15,27,1,25645,0.97537,0.15978,0.39054,0.11526,49.01470,16.39120,25.62180,276.90000,814.06000,
16,27,1,27235,0.40107,0.93349,0.24192,0.68537,26.04290,47.33950,19.67700,464.84000,797.29000,
17,27,1,28533,0.35308,0.53384,0.52795,0.27471,24.12310,31.35370,31.11790,159.86000,468.56000,
18,27,1,28577,0.77870,0.21973,0.31205,0.59018,41.14800,18.78930,22.48190,999.27000,1457.02000,
19,27,1,30758,0.16740,0.84760,0.09447,-0.90547,16.69590,43.90380,13.77880,-252.40000,-22.76000,
20,27,1,32988,0.06049,0.96592,0.08928,1.16675,12.41970,48.63670,13.57130,179.97000,371.38000,
21,27,1,33417,0.67054,0.14847,0.38529,-0.08371,36.82150,15.93900,25.41170,-113.49000,301.07000,
22,27,1,34772,0.95235,0.48302,0.13489,-1.27680,48.09410,29.32080,15.39550,-2953.29000,-2422.63000,
23,27,1,36036,0.32343,0.50501,0.51201,-1.54420,22.93730,30.20060,30.48050,-812.43000,-517.38000,
24,27,1,39099,0.49458,0.82830,0.19507,-0.53687,29.78310,43.13220,17.80280,-476.22000,-112.45000,
25,27,1,39917,0.68196,0.50506,0.08775,-0.27186,37.27860,30.20260,13.51000,-377.80000,43.70000,
26,27,1,40117,0.85725,0.20450,0.39650,0.94029,44.29010,18.18020,25.85990,1844.50000,2336.44000,
27,27,1,40424,0.97445,0.92537,0.57686,0.08577,48.97800,47.01480,33.07440,205.74000,780.61000,
28,27,1,41923,0.37798,0.20311,0.35772,-2.40985,25.11920,18.12450,24.30900,-1520.55000,-1221.92000,
29,27,1,42025,0.27315,0.93934,0.90119,0.64871,20.92610,47.57350,46.04740,284.07000,591.96000,
30,27,1,47855,0.38950,0.47660,0.80776,-0.66888,25.57980,29.06390,42.31050,-437.66000,-105.49000,
1,28,1,476,0.57070,0.10245,0.89720,-1.00185,32.82810,14.09810,45.88790,-1079.68000,-686.41000,
2,28,1,3631,0.77514,0.12770,0.27241,0.46356,41.00570,15.10810,20.89630,779.46000,1230.52000,
3,28,1,3919,0.72352,0.17994,0.94113,-0.68965,38.94090,17.19740,47.64510,-1045.78000,-586.53000,
4,28,1,8887,0.80116,0.91154,0.65002,-0.88861,42.04660,46.46160,36.00070,-1570.99000,-1063.06000,
5,28,1,9709,0.94587,0.32599,0.53465,0.73772,47.83490,23.03960,31.38600,1688.04000,2225.81000,
6,28,1,10320,0.59275,0.03759,0.46999,0.90570,33.70980,11.50350,28.79950,1029.20000,1411.60000,
7,28,1,14336,0.90554,0.32260,0.65618,1.63025,46.22140,22.90390,36.24710,3482.91000,4009.27000,
8,28,1,18634,0.41419,0.53911,0.65949,1.53188,26.56740,31.56450,36.37970,1081.24000,1419.86000,
9,28,1,19208,0.57404,0.06789,0.07206,0.88917,32.96160,12.71580,12.88240,966.05000,1326.26000,
10,28,1,19450,0.12094,0.85569,0.98055,-0.57396,14.83760,44.22740,49.22190,-126.36000,120.47000,
11,28,1,20045,0.62001,0.12293,0.68765,0.29539,34.80050,14.91710,37.50580,357.74000,763.17000,
12,28,1,21258,0.83222,0.93428,0.16211,1.13968,43.28890,47.37130,16.48440,2135.69000,2637.44000,
13,28,1,21772,0.52463,0.71757,0.95752,0.22606,30.98500,38.70290,48.30070,217.03000,618.89000,
14,28,1,24031,0.39699,0.31113,0.64226,0.35392,25.87970,22.44510,35.69040,237.04000,558.97000,
15,28,1,24884,0.90714,0.45484,0.97826,0.37146,46.28560,28.19370,49.13050,795.79000,1340.97000,
16,28,1,25742,0.03023,0.37447,0.00885,1.57231,11.20900,24.97880,10.35410,197.55000,349.97000,
17,28,1,33930,0.69729,0.73349,0.55965,0.71880,37.89150,39.33960,32.38590,1032.02000,1487.67000,
18,28,1,36045,0.69277,0.33949,0.62106,1.30690,37.71080,23.57970,34.84250,1858.55000,2299.08000,
19,28,1,37006,0.81929,0.16327,0.91433,-1.09580,42.77150,16.53080,46.57310,-2004.66000,-1508.84000,
20,28,1,37054,0.30600,0.91332,0.17022,-1.13240,22.24010,46.53270,16.80880,-560.11000,-269.37000,
21,28,1,39719,0.39197,0.10407,0.82530,0.59740,25.67890,14.16290,43.01180,393.93000,712.89000,
22,28,1,40241,0.84577,0.93476,0.00111,-1.15115,43.83090,47.39020,10.04440,-2211.53000,-1710.79000,
23,28,1,41898,0.64435,0.40688,0.58763,0.31941,35.77390,26.27530,33.50510,408.77000,831.29000,
24,28,1,42299,0.18555,0.39649,0.58595,2.22244,17.42190,25.85950,33.43800,674.56000,913.07000,
25,28,1,42626,0.24942,0.88641,0.58078,-0.19416,19.97670,45.45620,33.23110,-77.48000,205.97000,
26,28,1,44843,0.94680,0.28305,0.64539,-1.03439,47.87200,21.32200,35.81550,-2370.54000,-1829.68000,
27,28,1,47000,0.60076,0.96644,0.73751,-0.69265,34.03050,48.65750,39.50040,-802.14000,-368.67000,
28,28,1,47975,0.51071,0.05373,0.83920,0.45746,30.42830,12.14940,43.56790,423.56000,788.56000,
29,28,1,48093,0.61628,0.60536,0.58312,-1.01921,34.65120,34.21420,33.32460,-1223.77000,-804.72000,
30,28,1,48548,0.19679,0.66161,0.77591,1.63288,17.87180,36.46450,41.03640,521.54000,782.76000,
1,29,1,1237,0.11208,0.15490,0.80645,1.23569,14.48310,16.19610,42.25780,259.20000,467.48000,
2,29,1,1312,0.81818,0.95803,0.54655,0.82255,42.72710,48.32110,31.86200,1501.64000,2014.10000,
3,29,1,2468,0.27920,0.16117,0.99512,1.44520,21.16810,16.44660,49.80470,647.58000,930.51000,
4,29,1,3338,0.27417,0.59698,0.02058,-1.34570,20.96660,33.87940,10.82320,-591.57000,-332.20000,
5,29,1,5338,0.76944,0.75934,0.78700,-0.08281,40.77760,40.37370,41.48020,-137.71000,356.92000,
6,29,1,6422,0.88534,0.60404,0.34385,0.11176,45.41380,34.16150,23.75380,230.50000,747.55000,
7,29,1,7306,0.04594,0.96522,0.02884,-0.53888,11.83760,48.60870,11.15380,-75.51000,107.63000,
8,29,1,9074,0.73646,0.91334,0.45677,-0.59829,39.45830,46.53350,28.27090,-931.51000,-457.12000,
9,29,1,11602,0.06253,0.60028,0.71128,0.71260,12.50130,34.01120,38.45120,111.37000,313.84000,
10,29,1,11766,0.37500,0.56374,0.92119,0.83810,25.00010,32.54960,46.84760,523.82000,858.21000,
11,29,1,11881,0.68685,0.90139,0.32468,-0.78376,37.47420,46.05570,22.98730,-1100.65000,-651.87000,
12,29,1,12497,0.89739,0.85534,0.23612,1.10674,45.89550,44.21350,19.44460,2331.22000,2858.84000,
13,29,1,14313,0.63892,0.02117,0.12478,0.07490,35.55700,10.84660,14.99140,94.69000,481.10000,
14,29,1,17714,0.30150,0.46121,0.23110,-0.15307,22.06000,28.44840,19.24390,-74.49000,198.80000,
15,29,1,25350,0.10844,0.39141,0.54637,0.15484,14.33750,25.65650,31.85480,31.83000,237.72000,
16,29,1,26963,0.90411,0.17449,0.42461,-0.34597,46.16450,16.97940,26.98450,-737.32000,-226.71000,
17,29,1,27568,0.62711,0.30315,0.23549,1.70156,35.08440,22.12610,19.41970,2094.47000,2491.86000,
18,29,1,31625,0.34968,0.62810,0.88075,1.36293,23.98710,35.12410,45.23000,784.20000,1109.43000,
19,29,1,31769,0.47901,0.40205,0.13291,1.49166,29.16040,26.08200,15.31640,1268.40000,1606.41000,
20,29,1,34033,0.55163,0.70722,0.58311,0.00041,32.06500,38.28880,33.32420,0.42000,397.68000,
21,29,1,37018,0.59466,0.01215,0.28327,-0.81816,33.78640,10.48590,21.33090,-933.95000,-559.27000,
22,29,1,39147,0.91656,0.35890,0.79019,-2.28438,46.66250,24.35590,41.60770,-4973.99000,-4436.40000,
23,29,1,41256,0.05031,0.79837,0.41785,0.85714,12.01240,41.93470,26.71410,123.68000,317.46000,
24,29,1,41980,0.07095,0.51461,0.02888,0.44357,12.83820,30.58450,11.15530,73.11000,248.23000,
25,29,1,42245,0.74465,0.51739,0.44414,-0.79826,39.78590,30.69570,27.76540,-1263.58000,-802.26000,
26,29,1,43615,0.49169,0.33562,0.56323,0.02632,29.66760,23.42490,32.52920,23.16000,380.79000,
27,29,1,43884,0.12162,0.01785,0.00391,-0.49567,14.86490,10.71400,10.15640,-109.53000,64.99000,
28,29,1,44558,0.42265,0.33007,0.09718,-0.46930,26.90600,23.20280,13.88740,-339.74000,-28.59000,
29,29,1,44775,0.58634,0.18286,0.75163,-0.26125,33.45360,17.31450,40.06510,-292.38000,104.54000,
30,29,1,46822,0.74396,0.09038,0.37098,0.91821,39.75850,13.61520,24.83940,1451.44000,1892.48000,
1,30,1,3736,0.84214,0.78558,0.51024,-0.42254,43.68570,41.42320,30.40970,-806.40000,-292.71000,
2,30,1,7258,0.74732,0.65465,0.54901,1.13078,39.89260,36.18580,31.96060,1799.54000,2271.62000,
3,30,1,7637,0.79942,0.78411,0.47346,0.94287,41.97660,41.36460,28.93820,1661.37000,2156.44000,
4,30,1,12194,0.44577,0.82226,0.05031,-0.43614,27.83090,42.89050,12.01250,-337.82000,0.40000,
5,30,1,13950,0.45790,0.44708,0.62215,0.57887,28.31620,27.88310,34.88610,464.14000,815.07000,
6,30,1,13990,0.32846,0.89887,0.31044,1.00130,23.13840,45.95490,22.41770,536.08000,840.84000,
7,30,1,14171,0.44098,0.38430,0.69467,0.18455,27.63920,25.37200,37.78690,140.98000,485.53000,
8,30,1,16379,0.67909,0.01007,0.88668,-0.30127,37.16370,10.40270,45.46730,-416.10000,16.41000,
9,30,1,17382,0.57076,0.30630,0.15344,-1.11150,32.83050,22.25180,16.13740,-1198.02000,-826.33000,
10,30,1,18622,0.22149,0.35044,0.36554,-1.21593,18.85960,24.01770,24.62160,-432.49000,-190.25000,
11,30,1,19024,0.94202,0.80978,0.14668,-0.09021,47.68060,42.39110,15.86730,-205.09000,334.97000,
12,30,1,19601,0.35359,0.34500,0.68474,-0.94324,24.14360,23.79990,37.38960,-549.83000,-242.20000,
13,30,1,21366,0.58175,0.53861,0.89916,-1.25909,33.27000,31.54420,45.96640,-1393.67000,-978.46000,
14,30,1,22462,0.87666,0.69104,0.74532,0.57781,45.06630,37.64180,39.81270,1173.52000,1706.64000,
15,30,1,27057,0.57351,0.60991,0.89215,-1.07458,32.94040,34.39650,45.68600,-1165.99000,-751.51000,
16,30,1,32398,0.84793,0.67332,0.06189,1.28119,43.91730,36.93290,12.47560,2471.07000,2964.66000,
17,30,1,32840,0.99988,0.71414,0.59235,0.25640,49.99510,38.56580,33.69420,640.87000,1218.08000,
18,30,1,35045,0.52394,0.81330,0.36806,1.21928,30.95750,42.53200,24.72230,1168.52000,1550.35000,
19,30,1,36963,0.12320,0.00015,0.74145,-1.34523,14.92810,10.00590,39.65790,-299.78000,-95.84000,
20,30,1,37202,0.69840,0.66483,0.19692,-0.51383,37.93590,36.59310,17.87660,-739.46000,-300.64000,
21,30,1,37760,0.53228,0.14290,0.26781,-0.71845,31.29110,15.71620,20.71240,-703.46000,-349.12000,
22,30,1,38072,0.49319,0.29119,0.07652,1.59715,29.72770,21.64760,13.06080,1411.46000,1748.44000,
23,30,1,44144,0.81080,0.45064,0.60137,2.84608,42.43190,28.02560,34.05490,5124.28000,5615.68000,
24,30,1,44355,0.60333,0.27975,0.63515,0.58551,34.13300,21.18990,35.40610,682.15000,1085.08000,
25,30,1,44396,0.15443,0.24290,0.60175,-1.30872,16.17740,19.71610,34.07000,-342.50000,-121.94000,
26,30,1,45175,0.61361,0.60588,0.74857,0.47494,34.54420,34.23520,39.94300,566.74000,991.36000,
27,30,1,45545,0.49672,0.28907,0.59360,0.57424,29.86890,21.56280,33.74380,512.31000,871.30000,
28,30,1,46784,0.48489,0.13619,0.22758,-1.96448,29.39550,15.44760,19.10330,-1697.50000,-1363.99000,
29,30,1,48731,0.21049,0.69256,0.80657,1.29550,18.41980,37.70260,42.26260,439.55000,708.71000,
30,30,1,49462,0.54382,0.65731,0.87362,1.50220,31.75270,36.29240,44.94480,1514.56000,1918.33000,
1,31,1,540,0.21445,0.02611,0.38255,-0.99248,18.57790,11.04460,25.30210,-342.54000,-115.42000,
2,31,1,1011,0.33457,0.66393,0.32539,0.86602,23.38270,36.55710,23.01550,473.50000,771.90000,
3,31,1,3804,0.44980,0.83821,0.98523,-0.15259,27.99180,43.52850,49.40900,-119.56000,258.29000,
